Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",154.0000,-37.5300,180.0000,top
"C2","1uF","C_0402_1005Metric",152.0000,-33.2500,210.0000,top
"C3","1uF","C_0402_1005Metric",148.2000,-30.5000,240.0000,top
"C4","1uF","C_0402_1005Metric",143.5000,-30.0600,270.0000,top
"C5","1uF","C_0402_1005Metric",139.1900,-31.9327,300.0000,top
"C6","1uF","C_0402_1005Metric",136.5000,-35.8000,330.0000,top
"C7","1uF","C_0402_1005Metric",136.0000,-40.5000,0.0000,top
"C8","1uF","C_0402_1005Metric",138.0000,-44.7500,30.0000,top
"C9","1uF","C_0402_1005Metric",141.8000,-47.5000,60.0000,top
"C10","1uF","C_0402_1005Metric",146.5000,-48.0300,90.0000,top
"C11","1uF","C_0402_1005Metric",150.8000,-46.0673,120.0000,top
"C12","1uF","C_0402_1005Metric",153.5500,-42.2500,150.0000,top
"C13","1uF","C_0402_1005Metric",191.0000,-70.5300,180.0000,top
"C14","1uF","C_0402_1005Metric",189.0000,-66.2500,210.0000,top
"C15","1uF","C_0402_1005Metric",185.2000,-63.5000,240.0000,top
"C16","1uF","C_0402_1005Metric",180.5000,-63.0600,270.0000,top
"C17","1uF","C_0402_1005Metric",176.1900,-64.9327,300.0000,top
"C18","1uF","C_0402_1005Metric",173.5000,-68.8000,330.0000,top
"C19","1uF","C_0402_1005Metric",173.0000,-73.5000,0.0000,top
"C20","1uF","C_0402_1005Metric",175.0000,-77.7500,30.0000,top
"C21","1uF","C_0402_1005Metric",178.8000,-80.5000,60.0000,top
"C22","1uF","C_0402_1005Metric",183.5000,-81.0300,90.0000,top
"C23","1uF","C_0402_1005Metric",187.8000,-79.0673,120.0000,top
"C24","1uF","C_0402_1005Metric",190.5500,-75.2500,150.0000,top
"C25","1uF","C_0402_1005Metric",191.0000,-122.5300,180.0000,top
"C26","1uF","C_0402_1005Metric",189.0000,-118.2500,210.0000,top
"C27","1uF","C_0402_1005Metric",185.2000,-115.5000,240.0000,top
